date,value
2020-01-15,91973
2020-01-16,93736
2020-01-17,94089
2020-01-18,97127
2020-01-19,98064
2020-01-20,104806
2020-01-21,96349
2020-01-22,97914
2020-01-23,99214
2020-01-24,98072
2020-01-25,96128
2020-01-26,96128
2020-01-27,96128
2020-01-28,87800
2020-01-29,87983
2020-01-30,88521
2020-01-31,88774
2020-02-01,90912
2020-02-02,91130
2020-02-03,91130
2020-02-04,93962
2020-02-05,93636
2020-02-06,91147
2020-02-07,92435
2020-02-08,93843
2020-02-09,93843
2020-02-10,87918
2020-02-11,91894
2020-02-12,93443
2020-02-13,92041
2020-02-14,90037
2020-02-15,90831
2020-02-16,90831
2020-02-17,90831
2020-02-18,90215
2020-02-19,97925
2020-02-20,94597
2020-02-21,95551
2020-02-22,95657
2020-02-23,90725
2020-02-24,91385
2020-02-25,91696
2020-02-26,89897
2020-02-27,90857
2020-02-28,88838
2020-02-29,89415
2020-03-01,88627
2020-03-02,88627
2020-03-03,88667
2020-03-04,92633
2020-03-05,94094
2020-03-06,93164
2020-03-07,95633
2020-03-08,92716
2020-03-09,90488
2020-03-10,89916
2020-03-11,89886
2020-03-12,90834
2020-03-13,94655
2020-03-14,91144
2020-03-15,89146
2020-03-16,89055
2020-03-17,90127
2020-03-18,92454
2020-03-19,92254
2020-03-20,92254
2020-03-21,92254
2020-03-22,92254
2020-03-23,92254
2020-03-24,83389
2020-03-25,87488
2020-03-26,87488
2020-03-27,83721
2020-03-28,83721
2020-03-29,83721
2020-03-30,74835
2020-03-31,85535
2020-04-01,83360
2020-04-03,88156
2020-04-04,88156
2020-04-05,88156
2020-04-06,88156
2020-04-07,84239
2020-04-08,86156
2020-04-09,91036
2020-04-10,83359
2020-04-11,83359
2020-04-12,83359
2020-04-13,84651
2020-04-14,87841
2020-04-15,88612
2020-04-16,91029
2020-04-17,86132
2020-04-18,86330
2020-04-19,86330
2020-04-20,86330
2020-04-21,87048
2020-04-22,90235
2020-04-23,92624
2020-04-24,91578
2020-04-25,91578
2020-04-26,91578
2020-04-27,91578
2020-04-28,87593
2020-04-29,87593
2020-04-30,84284
2020-05-01,84514
2020-05-02,83981
2020-05-03,83981
2020-05-04,83981
2020-05-05,79718
2020-05-06,80438
2020-05-07,83664
2020-05-08,89499
2020-05-08,84059
2020-05-09,85391
2020-05-10,85391
2020-05-11,85391
2020-05-13,81640
2020-05-14,84451
2020-05-15,87079
2020-05-15,87079
2020-05-15,87079
2020-05-15,87079
2020-05-15,87079
2020-05-16,85119
2020-05-17,89662
2020-05-18,86060
2020-05-19,86947
2020-05-20,86985
2020-05-21,89869
2020-05-22,89517
2020-05-23,89517
2020-05-24,89517
2020-05-25,89517
2020-05-26,85667
2020-05-27,86582
2020-05-28,88089
2020-05-29,88484
2020-05-30,90722
2020-05-31,89480
2020-06-01,89480
2020-06-02,85680
2020-06-03,85875
2020-06-04,86115
2020-06-05,86224
2020-06-06,85417
2020-06-07,85664
2020-06-08,85721
2020-06-09,87381
2020-06-10,90203
2020-06-11,90203
2020-06-12,90203
2020-06-13,90203
2020-06-14,90203
2020-06-15,90203
2020-06-16,90203
2020-06-21,90203
2020-06-22,90203
2020-06-23,90203
2020-06-24,90203
2020-06-25,90203
2020-06-26,90203
2020-06-27,90203
2020-06-28,-116
2020-06-29,-116
2020-06-30,-116
2020-07-01,-116
2020-07-02,-116
2020-07-03,-116
2020-07-04,-116
2020-07-05,-116
2020-07-06,-116
2020-07-07,-116
2020-07-08,-116
2020-07-09,-116
2020-07-10,-116
2020-07-11,-116
2020-07-12,-116
2020-07-13,-116
2020-07-14,-116
2020-07-15,-116
2020-07-16,-116
2020-07-17,-116
2020-07-18,-116
2020-07-19,-116
2020-07-20,-116
2020-07-21,-116
2020-07-22,-116
2020-07-23,-116
2020-07-24,-116
2020-07-25,-116
2020-07-26,-116
2020-07-27,-116
2020-07-28,-116
2020-07-29,-116
2020-07-30,-116
2020-07-31,-116
2020-08-01,-116
2020-08-02,-116
2020-08-03,-116
2020-08-04,-116
2020-08-05,-116
2020-08-06,-116
2020-08-07,-116
2020-08-08,-116
2020-08-09,-116
2020-08-10,-116
2020-08-11,-116
2020-08-12,-116
2020-08-13,-116
2020-08-14,-116
2020-08-15,-116
2020-08-16,-116
2020-08-17,-116
2020-08-18,-116
2020-08-19,-116
2020-08-20,-116
2020-08-21,-116
2020-08-22,-116
2020-08-23,-116
2020-08-24,-116
2020-08-25,-116
2020-08-26,-116
2020-08-27,-116
2020-08-28,-116
2020-08-29,-116
2020-08-30,-116
2020-08-31,-116
2020-09-01,-116
2020-09-02,-116
2020-09-03,-116
2020-09-04,-116
2020-09-05,-116
2020-09-06,-116
